date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,stocare,sold
2025-08-31 16:55:27,582,5030,729,483,1348,526,4191,369,46,107,838
2025-08-31 07:25:32,612,4714,943,478,1348,242,3816,48,45,96,898
2025-08-30 21:56:13,606,6359,1873,512,1344,650,5102,-2,47,71,1257
2025-08-30 12:25:36,606,4494,639,477,1345,41,4580,1422,47,0,-85
2025-08-30 02:25:29,607,5123,874,1307,1346,110,4289,-3,45,0,833
2025-08-29 16:56:31,778,5433,737,1088,1335,531,5776,1226,49,28,-343
2025-08-29 07:25:19,760,5888,1427,1338,1350,379,5520,112,48,103,367
2025-08-28 21:55:11,811,6869,1971,1279,1337,598,6060,-3,57,8,808
2025-08-28 12:25:31,792,4743,508,1100,1290,261,5797,1785,58,0,-1053
2025-08-28 02:55:22,803,5052,873,1314,1341,141,4523,-4,54,0,529
2025-08-27 17:25:07,749,5647,955,1210,1334,615,5849,927,56,0,-202
2025-08-27 07:55:29,774,5866,1498,1318,1344,44,5477,320,54,122,388
2025-08-26 22:25:36,757,6355,1784,1375,1330,778,6076,-3,53,0,279
2025-08-26 12:55:34,707,4658,448,995,1328,155,5433,1736,54,7,-775
2025-08-26 03:25:23,755,4962,724,1350,1344,213,4449,-4,53,0,512
2025-08-25 17:40:18,724,5786,810,1040,1333,397,5099,738,53,0,687
2025-08-25 08:08:07,613,5742,1378,1355,1338,220,5383,327,52,97,358
2025-08-24 22:38:39,511,5479,1424,996,1337,1367,5678,-4,45,0,-198
2025-08-24 12:59:37,571,3672,525,473,1335,595,4585,1037,39,1,-913
2025-08-24 03:30:33,608,4689,854,544,1333,261,3668,-4,38,31,1020
2025-08-23 18:00:13,608,5495,874,530,1325,447,4292,456,39,9,1203
2025-08-23 08:30:33,550,5305,804,494,1328,1508,4999,253,39,19,306
2025-08-22 23:00:35,702,5991,1146,1226,1323,1131,5570,-3,44,0,421
2025-08-22 13:29:34,780,5917,555,1048,1316,1047,5812,1036,23,1,105
2025-08-22 03:59:18,723,5000,784,1313,1333,1774,5948,-5,23,0,-947
2025-08-21 18:30:07,748,6738,1667,1301,1314,1480,6884,341,31,0,-145
2025-08-21 09:00:10,777,5896,1384,1265,1331,117,5701,746,29,49,194
2025-08-20 23:27:29,735,5965,1307,1327,1322,1131,5858,-3,29,7,107
2025-08-20 10:47:14,703,5120,869,1019,1327,40,5299,1315,23,0,-179
2025-08-20 01:08:14,748,5329,822,1312,1326,226,4458,-4,27,0,871
2025-08-19 15:38:06,839,5612,509,1077,1324,98,4827,944,19,12,785
2025-08-19 06:08:27,747,5317,850,1293,1328,827,5056,-4,12,0,260
2025-08-18 20:30:34,779,6921,1887,1287,1316,1066,6402,0,11,55,519
2025-08-18 10:59:24,827,5773,784,1086,1278,686,5614,939,11,0,159
2025-08-18 01:29:08,743,4855,896,1261,1325,437,4662,-4,7,1,193
2025-08-17 16:00:28,833,4688,541,1047,1323,224,4732,753,7,0,-43
2025-08-17 06:30:12,834,4664,840,1210,1323,14,4316,0,15,78,348
2025-08-16 20:56:08,872,6762,1583,1301,1323,436,5623,-2,25,82,1139
2025-08-16 11:28:33,752,4544,699,1176,1329,184,5414,1232,28,11,-869
2025-08-16 01:46:11,686,5018,808,1239,1328,294,4387,-4,25,7,630
2025-08-15 16:17:15,822,4855,620,1086,1323,783,5735,1065,26,6,-880
2025-08-15 06:47:29,748,4905,978,1309,1328,313,4816,16,34,87,89
2025-08-14 21:17:22,879,7456,2160,1374,1318,182,6033,-3,34,88,1423
2025-08-14 11:48:31,838,5208,862,1023,1271,256,5820,1527,32,7,-611
2025-08-14 01:25:07,778,5416,1064,1339,1326,102,4693,-6,27,61,723
2025-08-13 11:38:09,838,5165,766,934,1302,213,5545,1458,30,0,-380
2025-08-13 02:09:29,657,5212,1252,1311,1331,43,4631,-6,26,15,580
2025-08-12 16:29:22,713,5597,859,991,1303,246,5306,1160,30,0,291
2025-08-12 06:00:13,712,5316,1156,1333,1329,1273,5858,-5,19,38,-541
2025-08-11 20:30:29,755,7527,2122,1375,1268,620,6412,197,21,51,1114
