CustomerID,Segment,Region,Age,Gender,TenureMonths,PlanType,NumServices,MonthlyRevenue,NumTicketsLast6M,AvgResolutionTimeHours,LatePaymentsLast6M,Autopay,SatisfactionScore,Churn,RetentionOfferCost,ExpectedMarginNext6M
C001,Individual,Nord,22,M,35,Premium,1,58.9,1,15.8,0,0,8.7,0,53.23,141.36
C002,SME,Centru,35,M,52,Basic,2,28.9,3,37.2,3,1,6.9,0,15.93,69.36
C003,Individual,Centru,45,F,58,Basic,2,60.49,3,15.6,0,0,7.9,0,18.59,145.18
C004,Individual,Sud,59,M,22,Basic,4,85.56,5,39.8,0,0,5.4,0,33.83,205.34
C005,Individual,Sud,39,F,44,Basic,1,20.29,5,34.5,0,0,4.9,0,46.89,48.7
C006,Individual,Chișinău,38,F,24,Premium,3,188.09,1,20.8,1,0,7.7,0,16.95,451.42
C007,Individual,Centru,23,M,17,Standard,2,58.4,3,16.7,1,0,6.7,0,32,140.16
C008,SME,Centru,18,M,10,Basic,4,83.27,1,34.5,2,0,6.9,0,34.14,199.85
C009,Individual,Chișinău,22,M,30,Standard,3,89.95,0,21.6,0,1,9.5,0,20.61,215.88
C010,Individual,Centru,58,F,56,Premium,1,70.59,1,8.5,1,0,7.8,0,15.78,169.42
C011,Individual,Centru,29,M,59,Premium,4,177.65,1,29.6,0,0,7.7,0,51.82,426.36
C012,SME,Nord,43,F,46,Standard,2,70.88,3,28.2,0,1,7,0,35.12,170.11
C013,SME,Nord,63,F,23,Premium,3,174.88,1,35.4,1,1,8.4,0,10.72,419.71
C014,Individual,Chișinău,51,F,32,Premium,2,117.9,2,27.5,1,1,8,0,50.15,282.96
C015,Individual,Chișinău,66,M,17,Standard,1,30.93,3,18.5,1,0,7.4,0,59.04,74.23
C016,Individual,Sud,31,M,50,Basic,3,46.57,2,36.7,2,1,6.7,0,40.3,111.77
C017,Individual,Centru,43,F,51,Standard,1,31.03,3,37.7,1,1,7.9,0,35.19,74.47
C018,Individual,Nord,62,M,17,Premium,1,60.28,3,26.3,1,0,8,0,53.92,144.67
C019,Individual,Nord,44,M,14,Basic,4,77.12,2,24.6,1,0,7.7,0,57.63,185.09
C020,Individual,Centru,26,M,9,Premium,2,125.92,0,10.8,1,0,7.4,0,47.73,302.21
C021,Individual,Centru,43,F,40,Basic,3,67.16,3,17.9,2,0,5.8,0,32.27,161.18
C022,Individual,Sud,74,F,2,Basic,1,8.62,1,31.6,0,1,7.7,0,39.61,20.69
C023,Individual,Sud,64,M,45,Basic,1,21.24,1,18.4,0,0,7.2,0,45.05,50.98
C024,Individual,Centru,74,F,25,Basic,3,93.76,5,9.4,0,1,6.7,0,19.71,225.02
C025,Individual,Chișinău,39,M,39,Premium,1,68.25,2,59,0,0,7.2,0,32.36,163.8
C026,SME,Sud,64,M,9,Premium,4,236.88,5,9.4,0,0,6.5,0,51.49,568.51
C027,Individual,Sud,73,M,54,Premium,4,177.62,0,46.6,0,0,7.8,0,42.74,426.29
C028,Individual,Sud,47,M,22,Standard,4,153.37,2,20.9,3,0,6.5,0,30.56,368.09
C029,Individual,Centru,60,F,43,Basic,4,94.79,2,23.2,3,1,7.1,0,43.17,227.5
C030,Individual,Nord,65,F,46,Standard,1,33.22,3,17.3,1,1,7.8,0,15.91,79.73
C031,Individual,Centru,34,F,4,Standard,3,111.65,3,31.8,0,0,5.1,0,30.07,267.96
C032,Individual,Chișinău,43,M,26,Standard,3,136.7,0,9.6,1,0,8,0,49.66,328.08
C033,Individual,Nord,53,M,58,Basic,3,47.14,1,5.6,0,0,8.1,0,21.03,113.14
C034,SME,Nord,18,M,29,Standard,3,82.78,3,40.1,2,1,7.3,0,19.3,198.67
C035,SME,Nord,25,F,45,Standard,2,79.7,1,16,3,0,6.3,0,57.54,191.28
